reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A3IY9JZZ36OQSV,B009ZX8ZJG,lee cardwell,"[0, 0]",This thing is crap right out of the box it had holes in the stitching and all the pockets were sown on crooked. What can you expect for $20 tho. This was a temporary solution I don't recommend this for long term use it will probably fall apart.,1,Don't wast your money,1398729600,"04 29, 2014"
A2Y1R8CZMTALJP,B004HJ9COU,BigSteph66,"[0, 0]","The cable arrived on time and the it looked nice for ten minutes. I don""t like how the tips screw on and off and the fabric shielding slid out of place the first time I used it. The cable worked well for about two weeks but then it lost current in the middle of a session and I lost sound. This cable is complete garbage. Never again!",1,Waste of Money,1344384000,"08 8, 2012"
A206T0W1VE8K1Q,B001L8PIFW,C3p-BRO,"[1, 5]","If you're a metalhead, STAY AWAY!! I tried this on multiple metal pedals and the peavey Rogue G10 blows it out of the water. This thing sounds like CRAP with anything distortion. It's GREAT for jazzy blues and an ultra clean tone though or that classic fender crunch. But if you demand metal, get far away!",1,CRAP,1371772800,"06 21, 2013"
A2HBAYOAKSXIY2,B0002GJ6FC,The Pusher,"[2, 2]","Go build your own. Build it to your specs and have a solid stand. If not, you can find a lot better head stands. This one was a huge disappointment. Does not do what it says and can get you frustrated quick. Im back with my wood block and am happy.",1,"Build your own, seriously!",1357430400,"01 6, 2013"
A3KKTTJACRWL16,B000CBXZXG,Scott,"[0, 0]","The sheets seem to work fine to polish the frets but the template is cut from the cardboard box which obviously isn't going to last long.  Also, trying to hold the cardboard on the neck is a pain and my finger is killing.I'm going to go buy a fret eraser and be done with it.",1,Not a fan,1394582400,"03 12, 2014"
AVP5CCREISHVX,B003AYEAHC,Raul Diaz Pea,"[0, 3]","I was very excited to try this pedal when it finally arrived. Just to find out it WASN'T WORKING!!! it is defective, and because i brought it to Mexico, now i can't get a refund or a replacement.I will try to fix it through some local electrician or something. Very dissapointing!",1,It was defective. Doesn't work when first trying it.,1388707200,"01 3, 2014"
A2P2ST28QAZMJI,B000OY4WDI,C. Candy,"[3, 3]","I bought this pedal new, hoping to get an electric solid body guitar to sound somewhat like an acoustic guitar on stage.  I knew going in that it would not sound like a Martin D-28, but I thought it would be good enough to play a couple of acoustic parts without having to switch guitars.Imagine my profound disappointment.Really, Boss??? This is by far the worst pedal I have ever used of yours.  This thing has a terrible hiss when you turn the ""Top"" control higher than about 9 o'clock.  At first I thought I must have a defective unit, but then I started reading reviews on-line.  Seems like it is part of the design. It's too bad because one can hear some promise in the faux acoustic tones, hidden beneath a wall of fizz. Totally unusable, as far as I'm concerned. By the way, I tested it direct to a PA as well as into a guitar amp with a single coil guitar (strat).",1,The engineers at Boss should be ashamed of themselves,1357862400,"01 11, 2013"
A19IFF0DGV0T3E,B002AQNGIU,"HLB ""HLB""","[0, 0]","Our family of 2 guitarists and 1 bassist switched to these style locks about a year ago.  Every one of us has had continual problems with the locks periodically unscrewing themselves from the guitar body. I had one back out during a gig and damage a brand new 60th Anniversary American P-Bass...not good. My son had one come out on him in the middle of a gig last weekend.The problem with the design is there's a ton of friction between the top and bottom pieces of the lock which results in the tab that's screwed into the body unscrewing itself.  We've tried applying bar soap, petro jelly, and a spray can based dry lubricant.... none of which prevented the ultimate forces that cause this phenomenon.We are switching to the Dunlop style locks as that design incorporates ball bearings which allows the strap to rotate freely back and forth with next to zero 'unscrewing' force.We tried to make the Fender/Shallers work but just could not.  Maybe we're all too active on stage but we cannot tolerate the equipment damage nor the performance distruptions these have caused us.",1,Major Design Flaw,1351123200,"10 25, 2012"
ANZGC4YCEQC6W,B000A2HDXA,Bobby L. Tefft,"[1, 1]","My problem is that I am used to playing Hohner Golden Melody and Special 20 harps.  I guess I should have paid attention to the other 1 and 2 star ratings.  These harps have no volume.  Don't waste your money on them.  I guess the only thing worth having is the case, but the case has no handles or carry strap.5/25/14 - I said the case had no handle, well I take that back.  There is a little strap inside that prevents the case from opening flat.  I was able to fold that little strap outwards and then zip the two zippers up to it.  With one finger I can carry the case with my quality harps inside.",1,Just terrible.,1389484800,"01 12, 2014"
AZVME8JMPD3F4,B000EEK4VM,Reaperman,"[0, 0]",Ok its cheap. You knew that when you bought it. I really thought it was going to be more then one since it said assorted and showed a few in the picture. It was only one and it was red. Broke with first use.,1,Cheap cheap,1331769600,"03 15, 2012"
A2Y8JW5NSY95OL,B0035LCFRW,JdoubleH,"[0, 0]",The box contained a bag with just the bottom half of the stand. The top section with the mic thread attachment was missing. Sent it back and did not reorder.,1,Received half a stand,1397001600,"04 9, 2014"
AVOKN4NDZCN78,B0002GMGYA,Adam Mohr,"[0, 0]",Dont last but a couple weeks..terrible feed back as the ends near the plugs detirorate quickly. Will never buy again even if only 5 bucks,1,Crap,1383004800,"10 29, 2013"
AKPVT396SPLII,B0014IEBM0,"R. READ ""Re` Read""","[1, 1]","Sound nice, but very unreliable BX5a Deluxe.I own a pair of YAMAHA NS 10s and EVENT 20-20s, and they are all currently working without problems with over 10 years use.2 years ago I purchased a set of regular BX5a's, and they lasted about 1 1/2 years, and then the faulty capacitors leaked.I just replaced them with the BX5a Deluxe model, and after only one week. one of the Internal amps will no longer power up.I need a pair of affordable AV shielded monitors that I can depend on, and these Cheap M-Audio Monitors are not it.I am back to using my 20-20's with slight AV noise until I find a decent AV shielded monitor.M-Audio was a much better company before Avid took them over!",1,"Sound nice, but very unreliable BX5a Deluxe",1312588800,"08 6, 2011"
A1TJ393OFP21I8,B00A270KYM,Clam Canoe,"[0, 0]",Manufacturer's website claimed that this case would fit a Les Paul style guitar. I have an ESP Eclipse. Not even close. ChromaCast products are great. They need to fix the info on their web page. I'm not a fan of shaped Les Paul cases. Too bad.,1,Does NOT fit a Les Paul/ESP Eclipse shaped guitar (their site says it does),1386547200,"12 9, 2013"
AKGWRO6IC0VIE,B005VM5Z5C,Vivid,"[0, 0]","Hi Folks! OK, this thing is cheap. That's cool. But a cheap item you can't use is money thrown away. Before buying this I had read various reviews of some folks liking it and others saying it's too small. Well, I want to clear this up once and for all. IT IS TOO SMALL! Specifically, it is too short to reach across all six strings if you go past the third fret or so (depending on your guitar), AND it doesn't open wide enough to be able be slid down past the third fret, even on a skinny neck. This thing really is a puzzler. I mean, who the hell would make capos this size, especially when they could've made capos that actually fit for the same production price and sold them at the same price? Someone somewhere is just plain ass stupid. HOWEVER, a positive from this whole mess is that I finally found a capo to use with my ukulele, and for way cheap, ha ha. But if you are looking for a capo for a guitar of any size, this is utter garbage. Cheers!",1,Ignore the tempting price - TOO SMALL for any guitar!,1403136000,"06 19, 2014"
A39PQ7QR2JFXLV,B001RMFSDE,"Ian Shillington ""Doc Shillington""","[4, 4]","As soon as I attached my mic, and with my strong hands, I over twisted the mic holder on the threads, and the thread piece came loose on the stand.  I think I can fix it with some liquid metal, but this is not as impressive as some mic stands I've had in the past.  Sincerely, DocAfter a few months of trying to make it work.  It doesn't.  I changed my rating from 3 to 1  This puppy is just poor quality.",1,Not the toughest,1340409600,"06 23, 2012"
A4XWMOFB1HY04,B000V8GA46,Mr. GrvThang,"[2, 5]","If you want to use this to power up a Tascam DR series digital recorder, I have a less expensive solution for you:  if you own a usb wall charger (like a cell phone charger), you can use that to power your device through its usb port. That's a lot cheaper than spending twenty-something dollars on an additional wall wart!",1,Save your money! A cheaper alternative...,1337731200,"05 23, 2012"
A27DR1VO079F1V,B000165DSM,Dan Edman,"[0, 0]","These things are terrible. One wouldn't fit in my soundboard, another wouldn't lock in my mic. Plain and simple....if your looking for crap that doesn't work....buy this.",1,Crap,1392768000,"02 19, 2014"
A36378CQKPA2G,B000XXBHA6,Carlo Verdi,"[1, 1]","I ordered this plug because it is advertised as a &#34;1 Spot&#34; brand plug. It is not what I received. Instead I received a generic plug  for eight 9v connections that would definitely fit the purpose, but a really cheap version. The plugs on this generic version are larger than the 1 Spot and the wires are kind of stiff plastic. The original 1 Spot plug has much smaller plugs, great for saving space on a pedal board, and the wires are soft and &#34;rubbery&#34;, again making it easier to work with on a pedal board, specially if you're working with a pedal board like Pedaltrain where you can intertwine wires in and out between bars. I informed the seller about the issue and was told it was a mistake and that they would send me the correct one. In my email to them I included an image of the original packaging of the 1 Spot 8 Plug to make sure there would be no mistake, but to my amazement they sent me another compatible plug. I emailed them again for a refund, which they promptly did. I can say, that they did respond quickly and they refunded my money. I imagine that those who order this plug without ever having worked with an original 1 Spot plug, wouldn't know the difference because although it is a really cheap version it does have eight 9v connectors. I strongly recommend, spend the extra two or three dollars and get the original 1 Spot 8 Plug.",1,This is not a 1 Spot brand 8 plug,1399334400,"05 6, 2014"
A6M441DQ7HL09,B0006NDF8A,"Mike ""Humans are people too.""","[0, 0]","I'm another reviewer who has, upon personal inspection, discovered that the rear leg of the stand is too short to provide staedy support for any beloved guitar. I returned it.I've &#34;First Act&#34; brand stands similar in appearance but more intelligently constructed.",1,Dangerous for loved guitars,1388361600,"12 30, 2013"
A2MHK6C40Z54TB,B004N0MKN8,Rob M.,"[0, 0]","A great idea, but pure crap in terms of functionality.  if you don't have something heavy on the flat end, the rubber piece moves, and before you know it, your axe is on the ground.  I saw some pictures of putting a 12 ounce can on the flat part as a counterweight, but I'm not so hot with that idea, especially if the can is open.  The lip need to extend down longer, and *something* needs to be done on the bottom of the flat portion to stop this gadget from moving around.  If I had a permanent place to mount this, I'd gorilla glue it down, but that then defeats the beauty of this being mobile and I'll get an extra guitar stand instead.  Good idea, but it doesn't work.",1,"Good idea in theory, but I'm tired of my guitar falling over.",1384905600,"11 20, 2013"
A1M957IA3QNX7X,B0037MC786,Kyle D.,"[0, 1]","I got a few of these as a Christmas gift and they're just bad.  I put them on my pedalboard where I previously had longer cables and these just didn't stay in the jack.  I have no other problems with these jacks with any other cable but these.  If I play loudly and my room vibrates a bit, the cable even works its way out of the jack a little bit and cuts my signal.  Awful.",1,Doesn't cut it for me.,1391731200,"02 7, 2014"
A136IQFGB01KQB,B0002KZE7C,Stinky K.,"[0, 0]",I can't believe these were actually sent to me. The heads are smaller than normal pickguard screws and the metal is blackened. They come from Taiwan but look like they were subcontracted to China. I am sending them back. There is no way I would use these. Any screw you get from Home Depot would work better and look more attractive. I am seeing nothing but product after product like this coming from Fender and it is a clear sign they are simply trying to maximize profits at any cost.,1,The Slide Continues,1389398400,"01 11, 2014"
A10044ECXDUVKS,B00466HM28,Dean J Copely,"[2, 4]",Works as advertised but the keys are stiff. Pads take too much presure to activate. Nice that I dont need another interface to connect it to my laptop.After the first few uses the USB socket broke and fell off into the unit rendering it useless. Wrote to dealer that was listed as selling it to me thru Amazon only to have them tell me the wrong seller was listed. I had registered it with AKAI already so I complained to them and they sent me a new one. I had to pay shipping back the old one to them even though it was a defective product.Not recommending this product.,1,OK for the price and USB connection without interface needed,1345161600,"08 17, 2012"
A136IQFGB01KQB,B0002KZIVY,Stinky K.,"[1, 2]","Unless you guys are receiving something I am not, how can you give this anything more than one star. My backplate is so thin and cut so close to the screws that you can actually see were the route begins on the back of my Fender stratocaster. This is inexcusable. All the other Fender backplates I have have enough lip to cover the route, but not this mint green one. I simply cannot understand what Fender is thinking.  I am seeing nothing but product after product like this coming from Fender and it is a clear sign they are simply trying to maximize profits at any cost.",1,The Slide of Fender continues,1389398400,"01 11, 2014"
A3DAURGJAL0Y0S,B001PGXKC8,"Marc LaBelle ""NevermoreFU""","[0, 0]","I thought it was my jack for a while, then I noticed it wouldn't stay in any pedal.  There is no ""click"" assuring that the cable is in place... and there's a reason for that, it isn't! Slips right out of every pedal I have.  Not reliable.",1,Plug slips right out of any jack,1380758400,"10 3, 2013"
A3J8U952XAL34Z,B009AS1FLG,Rick H,"[4, 7]","I got one of these from another source but have returned it for exchange because of the following issue:  when I record a track either with the ""Audio Recorder"" or ""Guitar Amp"" screens in Garageband on my iPad 3, iOS7, the recording is great. But once I toggle over to the multitrack view and attempt to play the recording just made, there is godawful distortion and the audio is completely unlistenable.  Here's the other part of this: I can use Apogee Jam guitar interface, and iRig Pre microphone interface and Garageband behaves as it should and I can play the multitrack view with no problems whatsoever. The Focusrite support folks suggested I do a backup of my iPad contents and then do a software restore but I opted to return the unit instead, since the Apogee and iRig both work perfectly with Garageband. So, I don't know if the unit is having a problem with iOS7 or I just happened to get a lemon but I'll find out when the new one comes next week.  If it works correctly, I'll update this review after doing a few recordings. But, I would say if you've just updated to iOS7 or are thinking about it and you want to get this unit, you might want to hold off on that upgrade.  UPDATE: Got a replacement unit and even did a restore on my iPad, as suggested by a Focusrite support tech, and STILL have the problem I discussed above.  So, this product simply has turned out to be a dud for me. If anyone else has a similar issue with this and find a resolution,  please let me know.",1,Problem with iOS7?,1380844800,"10 4, 2013"
APEJ8EJCC8PQ8,B000OY707S,F. Jones,"[2, 4]","I bought this pedal as a companion to my Roland AC-33 Acoustic Amp.  The pedal on its face looks like a good piece of equipment and feels quite sturdy.  However you do have to use a 9 volt batter to make it operate.  This is totally unnecessary for a foot-switch.  The worst part is the leads on the battery connector (9 volt) were not properly soldered or had shorted out.  The only way I could get it to function was to let the 9volt battery dangle just right and connection would be made.  For the rather high asking price and the limited function that is needed (i.e. all that has to work are two switches and a battery) you would think that Boss would put out a better product.  I also found that the battery cover was extremely cheap and was difficult to close, leading me to believe that the durability of the cover was in question.  I would HIGHLY recommend that you look to another maker for a switch or consider constructing one yourself with readily available parts that can be purchased on this site.",1,Absolute Junk,1332201600,"03 20, 2012"
A3DDG0WH5SBF34,B009ZX8ZJG,G. Botta,"[0, 0]","I have been using this gig bag for the past few months. If I do the math, I probably didn't use it more than 10 times, basically from home to the subway, from the subway to the studio and back, so maybe 20 minutes walk each time. So I used it for about 3 hrs and 20 minutes, mostly carrying it on my shoulders, sometimes by one of the two handles.Then the side handle started coming apart: the seam ripped on the side and the handle will eventually fall off if used. It will be OK for a while until the shoulder straps start breaking (which I kind of expect at this point!). Meanwhile I'm going to buy another (sturdier) gig bag.Save your money and get something better than this.",1,"Cheaply made, only lasted a few months",1397520000,"04 15, 2014"
A278CZM7C2OO8A,B00466HM28,Jim Dandy,"[0, 5]",This unit might be great if you have child hands - The KEYS ON THE  keyboard is soooo small..  Don't get this if you have Man hands! wtf U[DATE THE DESCRIPTION Akai WTF,1,What a joke,1389830400,"01 16, 2014"
A2E4JXFRLSUX53,B0014IEBM0,ANorton,"[0, 0]","These speakers worked great for 14 months. Last week (4/8/13), one of them wouldn't power up all the way. The problem is getting worse every time I try to use them, and it's just a matter of time before it stops working.  It seems there is a problem with the capacitors that I did read about in a few reviews. I took a chance on the monitors anyway, and it was a huge mistake. I only use them between 2 and 4 hours per week. I contacted M-Audio's online support system and was given addresses to two electronics repair shops. One on the East coast and one on be west coast. I've since found many complaints about this same issue all over the Internet and on the M-Audio support site. M-Audio doesn't stand behind their products, and I'll never purchase anything from them again.",1,Worked great for 14 months,1331424000,"03 11, 2012"
AD5G39PJUJVJ,B0002CZW0Y,"James E. Sink ""Jimsi777""","[0, 0]","wind screen is way too big its bulky and to me useless, the screen came out, was thinking of glueing it back in but went to ebay and bought 2 metal mesh pop filters cheaper that is MUCH better...avoid this!!",1,Yuck,1368057600,"05 9, 2013"
A2C46HQIZLYJUC,B0002II6V0,tj,"[3, 5]","I bought a Glaesel Bridge & this Glaesel rubber mute together. I bought this because it was cheap and had so many good reviews. The mute fits the bridge fine, but compared to a brass mute (which of course works VERY well) this mute seems to do absolutely nothing. There is almost no discernible difference in playing the violin with or without this mute on. Also, the mute can affect your playing so certain notes screech or stutter or produce other undesirable noises.If You want or need a mute for practicing quietly (as many of us do), I suggest you buy something else. This item does not work and is a total waste of money. I tried this mute on a regular acoustic violin as well as a new Electric Violin bought here on Amazon (FYI, that cheap little electric violin is an awesome & fun item! *Just make sure you buyThe Original Peg Drops by Ardsley& aGlaesel Self-Adjusting 4/4 Violin Bridge Mediumwith it!).I consider this mute completely useless since it does not do anything at all. It does *not* mute or lower the volume of any violin in any noticeable way.",1,"Does Not Work as a Mute - if you need a practice mute, buy something else",1330905600,"03 5, 2012"
A3KBFCPNQ58YK4,B0025V1REU,Sam,"[0, 1]","These types of pedals are toys. They are a cheap way for a beginner to have effects to play with. By all means if you are buying it for your kid who just started playing. If not, i recommend slowly building your pedal collection and use the money to get 1 decent pedal whether it is a delay, or distortion.",1,A Toy,1392940800,"02 21, 2014"
A35XRT4BW4I6UD,B000L7MNUM,Richard R. Casper,"[0, 0]",Not very bright. Not very flexible. Too big. Clunky. I really don't like it. I wish I had went in a different direction.,1,Bummer,1395014400,"03 17, 2014"
AVP5CCREISHVX,B004U1QDL0,Raul Diaz Pea,"[3, 4]",This product is bad quality because the noise it makes. It increases the volume so much that it is better not to use it at all. I'm going to sell this product. I didn't like it.,1,A lot a noise when using rate different from 50%,1394323200,"03 9, 2014"
A3MZWM75KSM1P6,B000XPPURU,"Paul 1946 ""Paul46""","[2, 2]","i got this despite the warnings about it being too short for some people.  The strap is about 6"" too short for my Seagull S6 guitar.  I will say the build quality is great but too short, is and remains, too short.  I will keep this item and take it to a shoe shop or saddle repair place and have and extendo put into the strap.  I just can't understand how they can sell this a a guitar strap when it is clearly too short.2/22/2013 I fired off an email to LEVY and the long and ""short"" of all this is you will have to fork over another $30 to buy an extendo for this strap. I don't quite understand why they don't make the strap long enough to start with other than the fact they can extract another $30 to make it work right in the first place.  here's a link to the extendo optionLEVY'S LEATHERS MMGXL-2.5-BRN STRAP EXTENDER http://www.amazon.com/LEVYS-LEATHERS-MMGXL-2-5-BRN-STRAP-EXTENDER/dp/B00BH5N91E/ref=sr_1_2?ie=UTF8&qid;=1361565768&sr;=8-2&keywords;=MMGXL-2.5  the irony here is I managed to buy the last one for the immediate future.This is just another case of caveat emptor for all buyers to consider. I got the extendo strap and it does not match the original so now I have this cobbled up looking guitar strap. It's sort of like wearing a suede shoe on one foot and a polished leather shoe on the other.  I will keep this strap but sure feel like I've been had on this purchase... the terms bait and switch come to my mind.",1,Way too short for a dreadnought guitar DO NOT BUY THIS STRAP!,1361491200,"02 22, 2013"
A2BB6IKKR4G40J,B003FO6E6M,Anthony,"[0, 1]","Sounded good. Warmer sounding than stock tubes in my ac15. I rocked all night and loved the sound. Next day i turned it on, my amp was crackling out and wiping out the signal i checked the tubes and one of them was making violent purple flashes before the signal burnt out. I then noticed that one of my fuses blew out as well. I changed out the fuse and checked again and the tube was still doing the same thing so i just swapped the tubes back for atock. Id like to see a real set of jjs, im sure one of them was a dud.",1,Good. But then...,1399766400,"05 11, 2014"
A2P8WJLFW9NDYN,B004ZKIHVU,Levi Cannon,"[1, 2]","The velcro itself is insanely amazing. Its so amazing that its stronger than the adhesive backing. If you have an alternative means to adhere this velcro to its surface with a strength stronger than 10 men, then by all means, use this stuff. In the end, you just can't make velcro this strong for use with a pedal board. Once together, it raises the height of the pedal very uncomfortably. I cannot think of a practical application for this velcro.",1,The velcro that is so strong that you can't even use it.,1383436800,"11 3, 2013"
A26GUM1C5M1E51,B0002KYXTM,Igor B.,"[0, 1]","Pedal is not working, it just making noise. Poor quality control.Actually it looks like used pedal, not like new.Don't recommend this product.",1,Pedal is not working,1347926400,"09 18, 2012"
A2F92AOWTIUIB,B0002H04NE,StudioDude,"[0, 0]","Through my Ampeg bass amp, the low E string gets distorted when you push the bass control above 7, and the upper 3 strings sound kind of plain.",2,"Low E string gets fuzzy fast, Other strings bland sounding.",1394755200,"03 14, 2014"
AKHWZ3S1UVZAO,B0002D0CEO,Hagen LeBray,"[0, 0]","I've been playing guitar for over 40 years, and these Tortex picks are nearly the worst I'v ever used.  They are so noisy that they overpower the guitar strings with their clackity-clack noise.  Dunlop Ultex picks sound much better.",2,"Not the Worst, but Close",1402358400,"06 10, 2014"
A17IU5NX3UC84G,B000LQLDM2,"Casby ""-Casby""","[1, 1]","While the product came as described, the build quality felt a little lacking. On the website it mentioned that it accepts the Shure KSM32 threading but it does not, so if you're threading matches the KSM32, look elsewhere.",2,Eh... there's better out there,1371772800,"06 21, 2013"
A5JP93NSIK41I,B008O0RKVA,John Ellis,"[2, 3]","When I originally went out to place this order, I was planning to order the  TC Electronics Singles VoiceTone C1 Vocal Effects Processor for its pitch correction function. As I looked over that device and some alternatives, I finally ordered the TC-Helicon Mic Mechanic because it had pitch correction and some other very nice effects. I ignored the reviewers who said the pitch correction function had no effect - how could TC Electronics put out the &#34;Mic Mechanic&#34; with a pitch correction function that didn't do anything? Well, those reviewers were right - the pitch correction function has NO EFFECT! Also, I couldn't see any effect between engaging/disengaging the tone button. I kept the Mic Mechanic because I like the other effects, but I'm very disappointed in the primary reason I bought it!",2,Should have listened to the other reviewers.,1391904000,"02 9, 2014"
